dataset,N,M,SNN,MS,HW,ResNet,BN,WN,LN
letter,20000,17,0.9726,0.9712,0.8984,0.9762,0.9796,0.958,0.9742
libras,360,91,0.7889,0.8667,0.8222,0.7111,0.7444,0.8,0.8333
low-res-spect,531,101,0.8571,0.8496,0.9023,0.8647,0.8571,0.8872,0.8947
lung-cancer,32,57,0.625,0.375,0.125,0.25,0.5,0.5,0.25
lymphography,148,19,0.9189,0.7297,0.7297,0.6757,0.7568,0.7568,0.7838
magic,19020,11,0.8692,0.8629,0.8673,0.8723,0.8713,0.869,0.862
mammographic,961,6,0.825,0.8083,0.7917,0.7833,0.8167,0.8292,0.8208
miniboone,130064,51,0.9307,0.925,0.927,0.9254,0.9262,0.9272,0.9313
molec-biol-promoter,106,58,0.8462,0.7692,0.6923,0.7692,0.7692,0.6923,0.4615
molec-biol-splice,3190,61,0.9009,0.8482,0.8833,0.8557,0.8519,0.8494,0.8607
monks-1,556,7,0.7523,0.6551,0.5833,0.7546,0.9074,0.5,0.7014
monks-2,601,7,0.5926,0.6343,0.6389,0.6273,0.3287,0.6644,0.5162
monks-3,554,7,0.6042,0.7454,0.588,0.5833,0.5278,0.5231,0.6991
mushroom,8124,22,1,1,1,1,0.999,0.9995,0.9995
musk-1,476,167,0.8739,0.8655,0.8992,0.8739,0.8235,0.8992,0.8992
musk-2,6598,167,0.9891,0.9945,0.9915,0.9964,0.9982,0.9927,0.9951
nursery,12960,9,0.9978,0.9988,1,0.9994,0.9994,0.9966,0.9966
oocytes_merluccius_nucleus_4d,1022,42,0.8235,0.8196,0.7176,0.8,0.8078,0.8078,0.7686
oocytes_merluccius_states_2f,1022,26,0.9529,0.949,0.949,0.9373,0.9333,0.902,0.9412
oocytes_trisopterus_nucleus_2f,912,26,0.7982,0.8728,0.8289,0.7719,0.7456,0.7939,0.8202
oocytes_trisopterus_states_5b,912,33,0.9342,0.943,0.9342,0.8947,0.8947,0.9254,0.8991
optical,5620,63,0.9711,0.9666,0.9644,0.9627,0.9716,0.9638,0.9755
ozone,2536,73,0.97,0.9732,0.9716,0.9669,0.9669,0.9748,0.9716
page-blocks,5473,11,0.9583,0.9708,0.9656,0.9605,0.9613,0.973,0.9708
parkinsons,195,23,0.898,0.9184,0.8367,0.9184,0.8571,0.8163,0.8571
pendigits,10992,17,0.9706,0.9714,0.9671,0.9708,0.9734,0.962,0.9657
pima,768,9,0.7552,0.7656,0.7188,0.7135,0.7188,0.6979,0.6927
pittsburg-bridges-MATERIAL,106,8,0.8846,0.8462,0.9231,0.9231,0.8846,0.8077,0.9231
pittsburg-bridges-REL-L,103,8,0.6923,0.7692,0.6923,0.8462,0.7692,0.6538,0.7308
pittsburg-bridges-SPAN,92,8,0.6957,0.5217,0.5652,0.5652,0.5652,0.6522,0.6087
pittsburg-bridges-T-OR-D,102,8,0.84,0.88,0.88,0.88,0.88,0.88,0.88
pittsburg-bridges-TYPE,105,8,0.6538,0.6538,0.5385,0.6538,0.1154,0.4615,0.6538
planning,182,13,0.6889,0.6667,0.6,0.7111,0.6222,0.6444,0.6889
plant-margin,1600,65,0.8125,0.8125,0.8375,0.7975,0.76,0.8175,0.8425
plant-shape,1600,65,0.7275,0.635,0.6325,0.515,0.285,0.6575,0.6775
plant-texture,1599,65,0.8125,0.79,0.79,0.8,0.82,0.8175,0.835
post-operative,90,9,0.7273,0.7273,0.5909,0.7273,0.5909,0.5455,0.7727
primary-tumor,330,18,0.5244,0.5,0.4512,0.3902,0.5122,0.5,0.4512
ringnorm,7400,21,0.9751,0.9843,0.9692,0.9811,0.9843,0.9719,0.9827
seeds,210,8,0.8846,0.8654,0.9423,0.8654,0.8654,0.8846,0.8846
semeion,1593,257,0.9196,0.9296,0.9447,0.9146,0.9372,0.9322,0.9447
soybean,683,36,0.8511,0.8723,0.8617,0.867,0.8883,0.8537,0.8484
spambase,4601,58,0.9409,0.9461,0.9435,0.9461,0.9426,0.9504,0.9513
spect,265,23,0.6398,0.6183,0.6022,0.6667,0.6344,0.6398,0.672
spectf,267,45,0.4973,0.6043,0.893,0.7005,0.2299,0.4545,0.5561
statlog-australian-credit,690,15,0.5988,0.6802,0.6802,0.6395,0.6802,0.686,0.6279
statlog-german-credit,1000,25,0.756,0.728,0.776,0.772,0.752,0.74,0.74
statlog-heart,270,14,0.9254,0.8358,0.7761,0.8657,0.791,0.8657,0.791
statlog-image,2310,19,0.9549,0.9757,0.9584,0.9584,0.9671,0.9515,0.9757
statlog-landsat,6435,37,0.91,0.9075,0.911,0.9055,0.904,0.8925,0.904
statlog-shuttle,58000,10,0.999,0.9983,0.9977,0.9992,0.9988,0.9988,0.9987
statlog-vehicle,846,19,0.8009,0.8294,0.7962,0.7583,0.7583,0.8009,0.7915
steel-plates,1941,28,0.7835,0.7567,0.7608,0.7629,0.7031,0.7856,0.7588
synthetic-control,600,61,0.9867,0.98,0.9867,0.96,0.9733,0.9867,0.9733
teaching,151,6,0.5,0.6053,0.5263,0.5526,0.5,0.3158,0.6316
thyroid,7200,22,0.9816,0.977,0.9708,0.9799,0.9778,0.9807,0.9752
tic-tac-toe,958,10,0.9665,0.9833,0.9749,0.9623,0.9833,0.9707,0.9791
titanic,2201,4,0.7836,0.7909,0.7927,0.7727,0.78,0.7818,0.7891
trains,10,30,NA,NA,NA,NA,0.5,0.5,1
twonorm,7400,21,0.9805,0.9778,0.9708,0.9735,0.9757,0.973,0.9724
vertebral-column-2clases,310,7,0.8312,0.8701,0.8571,0.8312,0.8312,0.6623,0.8442
vertebral-column-3clases,310,7,0.8312,0.8052,0.7922,0.7532,0.7792,0.7403,0.8312
wall-following,5456,25,0.9098,0.9076,0.923,0.9223,0.9333,0.9274,0.9128
waveform,5000,22,0.848,0.8312,0.832,0.836,0.836,0.8376,0.8448
waveform-noise,5000,41,0.8608,0.8328,0.8696,0.8584,0.848,0.864,0.8504
wine,178,14,0.9773,0.9318,0.9091,0.9773,0.9773,0.9773,0.9773
wine-quality-red,1599,12,0.63,0.625,0.5625,0.615,0.545,0.5575,0.61
wine-quality-white,4898,12,0.6373,0.6479,0.5564,0.6307,0.5335,0.5482,0.6544
yeast,1484,9,0.6307,0.6173,0.6065,0.5499,0.4906,0.5876,0.6092
zoo,101,17,0.92,1,0.88,1,0.72,0.96,0.96
